ID|title|title_lower|artist_ID
1|For Those About To Rock We Salute You|for those about to rock we salute you|1
2|Balls to the Wall|balls to the wall|2
3|Restless and Wild|restless and wild|2
4|Let There Be Rock|let there be rock|1
5|Big Ones|big ones|3
6|Jagged Little Pill|jagged little pill|4
7|Facelift|facelift|5
8|Warner 25 Anos|warner 25 anos|6
9|Plays Metallica By Four Cellos|plays metallica by four cellos|7
10|Audioslave|audioslave|8
11|Out Of Exile|out of exile|8
12|BackBeat Soundtrack|backbeat soundtrack|9
13|The Best Of Billy Cobham|the best of billy cobham|10
14|Alcohol Fueled Brewtality Live! [Disc 1]|alcohol fueled brewtality live! [disc 1]|11
15|Alcohol Fueled Brewtality Live! [Disc 2]|alcohol fueled brewtality live! [disc 2]|11
16|Black Sabbath|black sabbath|12
17|Black Sabbath Vol. 4 (Remaster)|black sabbath vol. 4 (remaster)|12
18|Body Count|body count|13
19|Chemical Wedding|chemical wedding|14
20|The Best Of Buddy Guy - The Millenium Collection|the best of buddy guy - the millenium collection|15
21|Prenda Minha|prenda minha|16
22|Sozinho Remix Ao Vivo|sozinho remix ao vivo|16
23|Minha Historia|minha historia|17
24|Afrociberdelia|afrociberdelia|18
25|Da Lama Ao Caos|da lama ao caos|18
26|Acústico MTV [Live]|acústico mtv [live]|19
27|Cidade Negra - Hits|cidade negra - hits|19
28|Na Pista|na pista|20
29|Axé Bahia 2001|axé bahia 2001|21
30|BBC Sessions [Disc 1] [Live]|bbc sessions [disc 1] [live]|22
31|Bongo Fury|bongo fury|23
32|Carnaval 2001|carnaval 2001|21
33|Chill: Brazil (Disc 1)|chill: brazil (disc 1)|24
34|Chill: Brazil (Disc 2)|chill: brazil (disc 2)|6
35|Garage Inc. (Disc 1)|garage inc. (disc 1)|50
36|Greatest Hits II|greatest hits ii|51
37|Greatest Kiss|greatest kiss|52
38|Heart of the Night|heart of the night|53
39|International Superhits|international superhits|54
40|Into The Light|into the light|55
41|Meus Momentos|meus momentos|56
42|Minha História__|minha história__|57
43|MK III The Final Concerts [Disc 1]|mk iii the final concerts [disc 1]|58
44|Physical Graffiti [Disc 1]|physical graffiti [disc 1]|22
45|Sambas De Enredo 2001|sambas de enredo 2001|21
46|Supernatural|supernatural|59
47|The Best of Ed Motta|the best of ed motta|37
48|The Essential Miles Davis [Disc 1]|the essential miles davis [disc 1]|68
49|The Essential Miles Davis [Disc 2]|the essential miles davis [disc 2]|68
50|The Final Concerts (Disc 2)|the final concerts (disc 2)|58
51|Up An' Atom|up an' atom|69
52|Vinícius De Moraes - Sem Limite|vinícius de moraes - sem limite|70
53|Vozes do MPB|vozes do mpb|21
54|Chronicle, Vol. 1|chronicle, vol. 1|76
55|Chronicle, Vol. 2|chronicle, vol. 2|76
56|Cássia Eller - Coleção Sem Limite [Disc 2]|cássia eller - coleção sem limite [disc 2]|77
57|Cássia Eller - Sem Limite [Disc 1]|cássia eller - sem limite [disc 1]|77
58|Come Taste The Band|come taste the band|58
59|Deep Purple In Rock|deep purple in rock|58
60|Fireball|fireball|58
61|Knocking at Your Back Door: The Best Of Deep Purple in the 80's|knocking at your back door: the best of deep purple in the 80's|58
62|Machine Head|machine head|58
63|Purpendicular|purpendicular|58
64|Slaves And Masters|slaves and masters|58
65|Stormbringer|stormbringer|58
66|The Battle Rages On|the battle rages on|58
67|Vault: Def Leppard's Greatest Hits|vault: def leppard's greatest hits|78
68|Outbreak|outbreak|79
69|Djavan Ao Vivo - Vol. 02|djavan ao vivo - vol. 02|80
70|Djavan Ao Vivo - Vol. 1|djavan ao vivo - vol. 1|80
71|Elis Regina-Minha História|elis regina-minha história|41
72|The Cream Of Clapton|the cream of clapton|81
73|Unplugged|unplugged|81
74|album Of The Year|album of the year|82
75|Angel Dust|angel dust|82
76|King For A Day Fool For A Lifetime|king for a day fool for a lifetime|82
77|The Real Thing|the real thing|82
78|Deixa Entrar|deixa entrar|83
79|In Your Honor [Disc 1]|in your honor [disc 1]|84
80|In Your Honor [Disc 2]|in your honor [disc 2]|84
81|One By One|one by one|84
82|The Colour And The Shape|the colour and the shape|84
83|My Way: The Best Of Frank Sinatra [Disc 1]|my way: the best of frank sinatra [disc 1]|85
84|Roda De Funk|roda de funk|86
85|As Canções de Eu Tu Eles|as canções de eu tu eles|27
86|Quanta Gente Veio Ver (Live)|quanta gente veio ver (live)|27
87|Quanta Gente Veio ver--Bônus De Carnaval|quanta gente veio ver--bônus de carnaval|27
88|Faceless|faceless|87
89|American Idiot|american idiot|54
90|Appetite for Destruction|appetite for destruction|88
91|Use Your Illusion I|use your illusion i|88
92|Use Your Illusion II|use your illusion ii|88
93|Blue Moods|blue moods|89
94|A Matter of Life and Death|a matter of life and death|90
95|A Real Dead One|a real dead one|90
96|A Real Live One|a real live one|90
97|Brave New World|brave new world|90
98|Dance Of Death|dance of death|90
99|Fear Of The Dark|fear of the dark|90
100|Iron Maiden|iron maiden|90
101|Killers|killers|90
102|Live After Death|live after death|90
103|Live At Donington 1992 (Disc 1)|live at donington 1992 (disc 1)|90
104|Live At Donington 1992 (Disc 2)|live at donington 1992 (disc 2)|90
105|No Prayer For The Dying|no prayer for the dying|90
106|Piece Of Mind|piece of mind|90
107|Powerslave|powerslave|90
108|Rock In Rio [CD1]|rock in rio [cd1]|90
109|Rock In Rio [CD2]|rock in rio [cd2]|90
110|Seventh Son of a Seventh Son|seventh son of a seventh son|90
111|Somewhere in Time|somewhere in time|90
112|The Number of The Beast|the number of the beast|90
113|The X Factor|the x factor|90
114|Virtual XI|virtual xi|90
115|Sex Machine|sex machine|91
116|Emergency On Planet Earth|emergency on planet earth|92
117|Synkronized|synkronized|92
118|The Return Of The Space Cowboy|the return of the space cowboy|92
119|Get Born|get born|93
120|Are You Experienced?|are you experienced?|94
121|Surfing with the Alien (Remastered)|surfing with the alien (remastered)|95
122|Jorge Ben Jor 25 Anos|jorge ben jor 25 anos|46
123|Jota Quest-1995|jota quest-1995|96
124|Cafezinho|cafezinho|97
