ID|name|name_lower
1|AC/DC|ac/dc
2|Accept|accept
3|Aerosmith|aerosmith
4|Alanis Morissette|alanis morissette
5|Alice In Chains|alice in chains
6|Antônio Carlos Jobim|antônio carlos jobim
7|Apocalyptica|apocalyptica
8|Audioslave|audioslave
9|BackBeat|backbeat
10|Billy Cobham|billy cobham
11|Black Label Society|black label society
12|Black Sabbath|black sabbath
13|Body Count|body count
14|Bruce Dickinson|bruce dickinson
15|Buddy Guy|buddy guy
16|Caetano Veloso|caetano veloso
17|Chico Buarque|chico buarque
18|Chico Science & Nação Zumbi|chico science & nação zumbi
19|Cidade Negra|cidade negra
20|Cláudio Zoli|cláudio zoli
21|Various Artists|various artists
22|Led Zeppelin|led zeppelin
23|Frank Zappa & Captain Beefheart|frank zappa & captain beefheart
24|Marcos Valle|marcos valle
25|Milton Nascimento & Bebeto|milton nascimento & bebeto
26|Azymuth|azymuth
27|Gilberto Gil|gilberto gil
28|João Gilberto|joão gilberto
29|Bebel Gilberto|bebel gilberto
30|Jorge Vercilo|jorge vercilo
31|Baby Consuelo|baby consuelo
32|Ney Matogrosso|ney matogrosso
33|Luiz Melodia|luiz melodia
34|Nando Reis|nando reis
35|Pedro Luís & A Parede|pedro luís & a parede
36|O Rappa|o rappa
37|Ed Motta|ed motta
38|Banda Black Rio|banda black rio
39|Fernanda Porto|fernanda porto
40|Os Cariocas|os cariocas
41|Elis Regina|elis regina
42|Milton Nascimento|milton nascimento
43|A Cor Do Som|a cor do som
44|Kid Abelha|kid abelha
45|Sandra De Sá|sandra de sá
46|Jorge Ben|jorge ben
47|Hermeto Pascoal|hermeto pascoal
48|Barão Vermelho|barão vermelho
49|Edson, DJ Marky & DJ Patife Featuring Fernanda Porto|edson, dj marky & dj patife featuring fernanda porto
50|Metallica|metallica
51|Queen|queen
52|Kiss|kiss
53|Spyro Gyra|spyro gyra
54|Green Day|green day
55|David Coverdale|david coverdale
56|Gonzaguinha|gonzaguinha
57|Os Mutantes|os mutantes
58|Deep Purple|deep purple
59|Santana|santana
60|Santana Feat. Dave Matthews|santana feat. dave matthews
61|Santana Feat. Everlast|santana feat. everlast
62|Santana Feat. Rob Thomas|santana feat. rob thomas
63|Santana Feat. Lauryn Hill & Cee-Lo|santana feat. lauryn hill & cee-lo
64|Santana Feat. The Project G&B|santana feat. the project g&b
65|Santana Feat. Maná|santana feat. maná
66|Santana Feat. Eagle-Eye Cherry|santana feat. eagle-eye cherry
67|Santana Feat. Eric Clapton|santana feat. eric clapton
68|Miles Davis|miles davis
69|Gene Krupa|gene krupa
70|Toquinho & Vinícius|toquinho & vinícius
71|Vinícius De Moraes & Baden Powell|vinícius de moraes & baden powell
72|Vinícius De Moraes|vinícius de moraes
73|Vinícius E Qurteto Em Cy|vinícius e qurteto em cy
74|Vinícius E Odette Lara|vinícius e odette lara
75|Vinicius, Toquinho & Quarteto Em Cy|vinicius, toquinho & quarteto em cy
76|Creedence Clearwater Revival|creedence clearwater revival
77|Cássia Eller|cássia eller
78|Def Leppard|def leppard
79|Dennis Chambers|dennis chambers
80|Djavan|djavan
81|Eric Clapton|eric clapton
82|Faith No More|faith no more
83|Falamansa|falamansa
84|Foo Fighters|foo fighters
85|Frank Sinatra|frank sinatra
86|Funk Como Le Gusta|funk como le gusta
87|Godsmack|godsmack
88|Guns N' Roses|guns n' roses
89|Incognito|incognito
90|Iron Maiden|iron maiden
91|James Brown|james brown
92|Jamiroquai|jamiroquai
93|JET|jet
94|Jimi Hendrix|jimi hendrix
95|Joe Satriani|joe satriani
96|Jota Quest|jota quest
97|João Suplicy|joão suplicy
98|Judas Priest|judas priest
99|Legião Urbana|legião urbana
100|Lenny Kravitz|lenny kravitz
101|Lulu Santos|lulu santos
102|Marillion|marillion
103|Marisa Monte|marisa monte
104|Marvin Gaye|marvin gaye
105|Men At Work|men at work
106|Motörhead|motörhead
107|Motörhead & Girlschool|motörhead & girlschool
108|Mônica Marianno|mônica marianno
109|Mötley Crüe|mötley crüe
110|Nirvana|nirvana
111|O Terço|o terço
112|Olodum|olodum
113|Os Paralamas Do Sucesso|os paralamas do sucesso
114|Ozzy Osbourne|ozzy osbourne
115|Page & Plant|page & plant
116|Passengers|passengers
117|Paul D'Ianno|paul d'ianno
118|Pearl Jam|pearl jam
119|Peter Tosh|peter tosh
120|Pink Floyd|pink floyd
121|Planet Hemp|planet hemp
122|R.E.M. Feat. Kate Pearson|r.e.m. feat. kate pearson
123|R.E.M. Feat. KRS-One|r.e.m. feat. krs-one
124|R.E.M.|r.e.m.
125|Raimundos|raimundos
126|Raul Seixas|raul seixas
127|Red Hot Chili Peppers|red hot chili peppers
128|Rush|rush
129|Simply Red|simply red
130|Skank|skank
131|Smashing Pumpkins|smashing pumpkins
132|Soundgarden|soundgarden
133|Stevie Ray Vaughan & Double Trouble|stevie ray vaughan & double trouble
134|Stone Temple Pilots|stone temple pilots
135|System Of A Down|system of a down
136|Terry Bozzio, Tony Levin & Steve Stevens|terry bozzio, tony levin & steve stevens
137|The Black Crowes|the black crowes
138|The Clash|the clash
139|The Cult|the cult
140|The Doors|the doors
141|The Police|the police
142|The Rolling Stones|the rolling stones
143|The Tea Party|the tea party
144|The Who|the who
145|Tim Maia|tim maia
146|Titãs|titãs
147|Battlestar Galactica|battlestar galactica
148|Heroes|heroes
149|Lost|lost
150|U2|u2
151|UB40|ub40
152|Van Halen|van halen
153|Velvet Revolver|velvet revolver
154|Whitesnake|whitesnake
155|Zeca Pagodinho|zeca pagodinho
156|The Office|the office
157|Dread Zeppelin|dread zeppelin
158|Battlestar Galactica (Classic)|battlestar galactica (classic)
159|Aquaman|aquaman
160|Christina Aguilera featuring BigElf|christina aguilera featuring bigelf
161|Aerosmith & Sierra Leone's Refugee Allstars|aerosmith & sierra leone's refugee allstars
162|Los Lonely Boys|los lonely boys
163|Corinne Bailey Rae|corinne bailey rae
164|Dhani Harrison & Jakob Dylan|dhani harrison & jakob dylan
165|Jackson Browne|jackson browne
166|Avril Lavigne|avril lavigne
167|Big & Rich|big & rich
168|Youssou N'Dour|youssou n'dour
169|Black Eyed Peas|black eyed peas
170|Jack Johnson|jack johnson
171|Ben Harper|ben harper
172|Snow Patrol|snow patrol
173|Matisyahu|matisyahu
174|The Postal Service|the postal service
175|Jaguares|jaguares
176|The Flaming Lips|the flaming lips
177|Jack's Mannequin & Mick Fleetwood|jack's mannequin & mick fleetwood
178|Regina Spektor|regina spektor
179|Scorpions|scorpions
180|House Of Pain|house of pain
181|Xis|xis
182|Nega Gizza|nega gizza
183|Gustavo & Andres Veiga & Salazar|gustavo & andres veiga & salazar
184|Rodox|rodox
185|Charlie Brown Jr.|charlie brown jr.
186|Pedro Luís E A Parede|pedro luís e a parede
187|Los Hermanos|los hermanos
188|Mundo Livre S/A|mundo livre s/a
189|Otto|otto
190|Instituto|instituto
191|Nação Zumbi|nação zumbi
192|DJ Dolores & Orchestra Santa Massa|dj dolores & orchestra santa massa
193|Seu Jorge|seu jorge
194|Sabotage E Instituto|sabotage e instituto
195|Stereo Maracana|stereo maracana
196|Cake|cake
197|Aisha Duo|aisha duo
198|Habib Koité and Bamada|habib koité and bamada
199|Karsh Kale|karsh kale
200|The Posies|the posies
201|Luciana Souza/Romero Lubambo|luciana souza/romero lubambo
202|Aaron Goldberg|aaron goldberg
203|Nicolaus Esterhazy Sinfonia|nicolaus esterhazy sinfonia
204|Temple of the Dog|temple of the dog
205|Chris Cornell|chris cornell
206|Alberto Turco & Nova Schola Gregoriana|alberto turco & nova schola gregoriana
207|Richard Marlow & The Choir of Trinity College, Cambridge|richard marlow & the choir of trinity college, cambridge
208|English Concert & Trevor Pinnock|english concert & trevor pinnock
