ID|name|name_lower|composer|milliseconds|bytes|unit_price|media_type_ID|genre_ID|album_ID
1|For Those About To Rock (We Salute You)|for those about to rock (we salute you)|Angus Young, Malcolm Young, Brian Johnson|343719|11170334|0.99|1|1|1
2|Balls to the Wall|balls to the wall||342562|5510424|0.99|2|1|2
3|Fast As a Shark|fast as a shark|F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman|230619|3990994|0.99|2|1|3
4|Restless and Wild|restless and wild|F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman|252051|4331779|0.99|2|1|3
5|Princess of the Dawn|princess of the dawn|Deaffy & R.A. Smith-Diesel|375418|6290521|0.99|2|1|3
6|Put The Finger On You|put the finger on you|Angus Young, Malcolm Young, Brian Johnson|205662|6713451|0.99|1|1|1
7|Let's Get It Up|let's get it up|Angus Young, Malcolm Young, Brian Johnson|233926|7636561|0.99|1|1|1
8|Inject The Venom|inject the venom|Angus Young, Malcolm Young, Brian Johnson|210834|6852860|0.99|1|1|1
9|Snowballed|snowballed|Angus Young, Malcolm Young, Brian Johnson|203102|6599424|0.99|1|1|1
10|Evil Walks|evil walks|Angus Young, Malcolm Young, Brian Johnson|263497|8611245|0.99|1|1|1
11|C.O.D.|c.o.d.|Angus Young, Malcolm Young, Brian Johnson|199836|6566314|0.99|1|1|1
12|Breaking The Rules|breaking the rules|Angus Young, Malcolm Young, Brian Johnson|263288|8596840|0.99|1|1|1
13|Night Of The Long Knives|night of the long knives|Angus Young, Malcolm Young, Brian Johnson|205688|6706347|0.99|1|1|1
14|Spellbound|spellbound|Angus Young, Malcolm Young, Brian Johnson|270863|8817038|0.99|1|1|1
15|Go Down|go down|AC/DC|331180|10847611|0.99|1|1|4
16|Dog Eat Dog|dog eat dog|AC/DC|215196|7032162|0.99|1|1|4
17|Let There Be Rock|let there be rock|AC/DC|366654|12021261|0.99|1|1|4
18|Bad Boy Boogie|bad boy boogie|AC/DC|267728|8776140|0.99|1|1|4
19|Problem Child|problem child|AC/DC|325041|10617116|0.99|1|1|4
20|Overdose|overdose|AC/DC|369319|12066294|0.99|1|1|4
21|Hell Ain't A Bad Place To Be|hell ain't a bad place to be|AC/DC|254380|8331286|0.99|1|1|4
22|Whole Lotta Rosie|whole lotta rosie|AC/DC|323761|10547154|0.99|1|1|4
23|Walk On Water|walk on water|Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw|295680|9719579|0.99|1|1|5
24|Love In An Elevator|love in an elevator|Steven Tyler, Joe Perry|321828|10552051|0.99|1|1|5
25|Rag Doll|rag doll|Steven Tyler, Joe Perry, Jim Vallance, Holly Knight|264698|8675345|0.99|1|1|5
26|What It Takes|what it takes|Steven Tyler, Joe Perry, Desmond Child|310622|10144730|0.99|1|1|5
27|Dude (Looks Like A Lady)|dude (looks like a lady)|Steven Tyler, Joe Perry, Desmond Child|264855|8679940|0.99|1|1|5
28|Janie's Got A Gun|janie's got a gun|Steven Tyler, Tom Hamilton|330736|10869391|0.99|1|1|5
29|Cryin'|cryin'|Steven Tyler, Joe Perry, Taylor Rhodes|309263|10056995|0.99|1|1|5
30|Amazing|amazing|Steven Tyler, Richie Supa|356519|11616195|0.99|1|1|5
31|Blind Man|blind man|Steven Tyler, Joe Perry, Taylor Rhodes|240718|7877453|0.99|1|1|5
32|Deuces Are Wild|deuces are wild|Steven Tyler, Jim Vallance|215875|7074167|0.99|1|1|5
33|The Other Side|the other side|Steven Tyler, Jim Vallance|244375|7983270|0.99|1|1|5
34|Crazy|crazy|Steven Tyler, Joe Perry, Desmond Child|316656|10402398|0.99|1|1|5
35|Eat The Rich|eat the rich|Steven Tyler, Joe Perry, Jim Vallance|251036|8262039|0.99|1|1|5
36|Angel|angel|Steven Tyler, Desmond Child|307617|9989331|0.99|1|1|5
37|Livin' On The Edge|livin' on the edge|Steven Tyler, Joe Perry, Mark Hudson|381231|12374569|0.99|1|1|5
38|All I Really Want|all i really want|Alanis Morissette & Glenn Ballard|284891|9375567|0.99|1|1|6
39|You Oughta Know|you oughta know|Alanis Morissette & Glenn Ballard|249234|8196916|0.99|1|1|6
40|Perfect|perfect|Alanis Morissette & Glenn Ballard|188133|6145404|0.99|1|1|6
41|Hand In My Pocket|hand in my pocket|Alanis Morissette & Glenn Ballard|221570|7224246|0.99|1|1|6
42|Right Through You|right through you|Alanis Morissette & Glenn Ballard|176117|5793082|0.99|1|1|6
43|Forgiven|forgiven|Alanis Morissette & Glenn Ballard|300355|9753256|0.99|1|1|6
